Id;type;label;Parent
0;File;C:/Users/dingz/Downloads/ENRE-experiment/ENRE-experiment/test/DeepBinDiff_V2/src/deepbindiff.py;-1
1;Variable;opcode_idx_list;0
2;Function;vocBuild;0
4;Variable;vocabulary;2
5;Variable;reversed_dictionary;2
6;Variable;count;2
7;Variable;index;2
8;Variable;reversed_dictionarynull;2
9;Variable;dictionary;2
10;Function;articlesGen;0
14;Variable;article;10
15;Variable;blockBoundaryIdx;10
16;Variable;tokens;10
17;Variable;insnStartingIndices;10
18;Variable;indexToCurrentInsnsStart;10
19;Variable;indexToCurrentInsnsStartnull;10
20;Function;cal_block_embeddings;0
24;Variable;block_embeddings;20
25;Variable;tokenlist;20
26;Variable;opcodeEmbeddings;20
27;Variable;operandEmbeddings;20
28;Variable;tokenid;20
29;Variable;tokenEmbedding;20
30;Variable;opcode_embed;20
31;Variable;operand_embed;20
32;Variable;embedding_size;20
33;Variable;block_embed;20
34;Variable;block_embeddingsnull;20
35;Function;feature_vec_file_gen;0
38;Variable;value;35
39;Function;copyEverythingOver;0
42;Variable;ground_truth;39
43;Variable;node_features;39
44;Variable;cfg_edgelist;39
45;Variable;nodeInfo;39
46;Function;main;0
47;Variable;parser;46
48;Variable;args;46
49;Variable;filepath1;46
50;Variable;filepath2;46
51;Variable;old_dir;46
52;Variable;new_dir;46
53;Variable;outputDir;46
54;Variable;EDGELIST_FILE;46
55;Variable;blockIdxToTokens;46
56;Variable;_;46
57;Variable;bin1_name;46
58;Variable;bin2_name;46
59;Variable;toBeMergedBlocks;46
60;Variable;dictionary;46
61;Variable;reversed_dictionary;46
62;Variable;walks;46
63;Variable;article;46
64;Variable;blockBoundaryIndex;46
65;Variable;insnStartingIndices;46
66;Variable;indexToCurrentInsnsStart;46
67;Variable;tokenEmbeddings;46
68;Variable;block_embeddings;46
69;Function;__main__;0
70;File;C:/Users/dingz/Downloads/ENRE-experiment/ENRE-experiment/test/DeepBinDiff_V2/src/deepwalk/deepwalk.py;-1
71;Variable;logger;70
72;Variable;LOGFORMAT;70
73;Function;debug;70
77;Function;process;70
84;Variable;G;77
85;Variable;num_walks;77
86;Variable;data_size;77
87;Variable;walks;77
88;Function;randomWalksGen;70
95;File;C:/Users/dingz/Downloads/ENRE-experiment/ENRE-experiment/test/DeepBinDiff_V2/src/deepwalk/graph.py;-1
96;Variable;logger;95
97;Variable;__author__;95
98;Variable;__email__;95
99;Variable;LOGFORMAT;95
100;Class;Graph;95
101;Function;__init__;100
103;Function;nodes;100
105;Function;subgraph;100
108;Variable;subgraph;105
109;Variable;subgraphnull;105
110;Function;make_undirected;100
112;Variable;t0;110
113;Variable;t1;110
114;Function;make_consistent;100
116;Variable;t0;114
117;Variable;selfnull;114
118;Variable;t1;114
119;Function;remove_self_loops;100
121;Variable;removed;119
122;Variable;t0;119
123;Variable;t1;119
124;Function;check_self_loops;100
126;Function;has_edge;100
130;Function;degree;100
133;Function;order;100
135;Function;number_of_edges;100
137;Function;number_of_nodes;100
139;Function;random_walk;100
145;Variable;G;139
146;Variable;path;139
147;Variable;cur;139
148;Function;build_deepwalk_corpus;95
154;Variable;walks;148
155;Variable;nodes;148
156;Function;build_deepwalk_corpus_iter;95
162;Variable;walks;156
163;Variable;nodes;156
164;Function;clique;95
166;Function;grouper;95
170;Function;parse_adjacencylist;95
172;Variable;adjlist;170
173;Variable;introw;170
174;Variable;row;170
175;Function;parse_adjacencylist_unchecked;95
177;Variable;adjlist;175
178;Function;load_adjacencylist;95
183;Variable;parse_func;178
184;Variable;convert_func;178
185;Variable;adjlist;178
186;Variable;t0;178
187;Variable;total;178
188;Variable;t1;178
189;Variable;G;178
190;Function;load_edgelist;95
193;Variable;G;190
194;Variable;x;190
195;Variable;y;190
196;Function;load_matfile;95
200;Variable;mat_varables;196
201;Variable;mat_matrix;196
202;Function;from_networkx;95
205;Variable;G;202
206;Function;from_numpy;95
209;Variable;G;206
210;Variable;cx;206
211;Function;from_adjlist;95
213;Variable;G;211
214;Variable;node;211
215;Variable;neighbors;211
216;Variable;Gnull;211
217;Function;from_adjlist_unchecked;95
219;Variable;G;217
220;Variable;node;217
221;Variable;neighbors;217
222;Variable;Gnull;217
223;File;C:/Users/dingz/Downloads/ENRE-experiment/ENRE-experiment/test/DeepBinDiff_V2/src/deepwalk/skipgram.py;-1
224;Variable;logger;223
225;Class;Skipgram;223
226;Function;__init__;225
230;Variable;vocabulary_counts;225
231;Variable;kwargsnull;226
232;Variable;vocabulary_counts;225
233;File;C:/Users/dingz/Downloads/ENRE-experiment/ENRE-experiment/test/DeepBinDiff_V2/src/deepwalk/walks.py;-1
234;Variable;logger;233
235;Variable;__current_graph;233
236;Variable;__vertex2str;233
237;Function;count_words;233
239;Variable;c;237
240;Variable;words;237
241;Function;count_textfiles;233
244;Variable;c;241
245;Function;count_lines;233
247;Variable;num_lines;245
248;Function;_write_walks_to_disk;233
250;Variable;num_paths;248
251;Variable;path_length;248
252;Variable;alpha;248
253;Variable;rand;248
254;Variable;f;248
255;Variable;G;248
256;Variable;t_0;248
257;Function;write_walks_to_disk;233
266;Variable;__current_graph;257
267;Variable;files_list;257
268;Variable;expected_size;257
269;Variable;args_list;257
270;Variable;files;257
271;Variable;paths_per_worker;257
272;Class;WalksCorpus;233
273;Function;__init__;272
276;Variable;file_list;272
277;Function;__iter__;272
279;Function;combine_files_iter;233
281;File;C:/Users/dingz/Downloads/ENRE-experiment/ENRE-experiment/test/DeepBinDiff_V2/src/featureGen.py;-1
282;Variable;batch_size;281
283;Variable;embedding_size;281
284;Variable;skip_window;281
285;Variable;num_skips;281
286;Variable;valid_size;281
287;Variable;valid_window;281
288;Variable;valid_examples;281
289;Variable;num_sampled;281
290;Variable;prev_data_index;281
291;Variable;data_index;281
292;Variable;random_walk_done;281
293;Variable;debug;281
294;Function;getNeighboringInsn;281
299;Variable;currentInsnStart;294
300;Function;generate_batch;281
