Id;type;label;Parent
0;File;C:/Users/dingz/Downloads/ENRE-experiment/ENRE-experiment/test/token_extraction.py;-1
1;Function;create_udb;0
5;Variable;output;1
6;Function;normalization;0
9;Variable;defs;6
10;Variable;tmps;6
11;Variable;var;6
12;Variable;replace_label;6
13;Variable;dataPath;0
14;Variable;defPath;0
15;Variable;gitRoot;0
16;Variable;cpRoot;0
17;Variable;files;0
18;Variable;def_files;0
19;Variable;txtName;0
20;Variable;srcName;0
21;Variable;srcName1;0
22;Variable;dstName;0
23;Variable;dstName1;0
24;Variable;src_defPath;0
25;Variable;dst_defPath;0
26;Variable;txt;0
27;Variable;txt_srcDef;0
28;Variable;txt_dstDef;0
29;Variable;lines;0
30;Variable;lines_srcDef;0
31;Variable;lines_dstDef;0
32;Variable;repoName;0
33;Variable;cpName;0
34;Variable;gitPath;0
35;Variable;diffPath;0
36;Variable;diffFile;0
37;Variable;diffLines;0
38;Variable;old_commit;0
39;Variable;new_commit;0
40;Variable;fileName;0
41;Variable;startLine_src;0
42;Variable;endLine_src;0
43;Variable;startCol_src;0
44;Variable;endCol_src;0
45;Variable;startLine_dst;0
46;Variable;endLine_dst;0
47;Variable;startCol_dst;0
48;Variable;endCol_dst;0
49;Variable;src;0
50;Variable;dst;0
51;Variable;old_path;0
52;Variable;db;0
53;Variable;lineNum;0
54;Variable;defLine_src;0
55;Variable;longName_src;0
56;Variable;tmps;0
57;Variable;exact_longName;0
58;Variable;begin_index;0
59;Variable;findFile;0
60;Variable;begin;0
61;Variable;lexemes;0
62;Variable;start_lexeme;0
63;Variable;type_exist;0
64;Variable;start_text;0
65;Variable;start_token;0
66;Variable;size;0
67;Variable;count;0
68;Variable;fullText;0
69;Variable;text;0
70;Variable;new_path;0
71;Variable;defLine_dst;0
72;Variable;longName_dst;0
