Id;type;label;Parent
0;File;C:/Users/dingz/Downloads/ENRE-experiment/ENRE-experiment/test/deepbindiff.py;-1
1;Variable;opcode_idx_list;0
2;Function;vocBuild;0
4;Variable;vocabulary;2
5;Variable;reversed_dictionary;2
6;Variable;count;2
7;Variable;index;2
8;Variable;reversed_dictionarynull;2
9;Variable;dictionary;2
10;Function;articlesGen;0
14;Variable;article;10
15;Variable;blockBoundaryIdx;10
16;Variable;tokens;10
17;Variable;insnStartingIndices;10
18;Variable;indexToCurrentInsnsStart;10
19;Variable;indexToCurrentInsnsStartnull;10
20;Function;cal_block_embeddings;0
24;Variable;block_embeddings;20
25;Variable;tokenlist;20
26;Variable;opcodeEmbeddings;20
27;Variable;operandEmbeddings;20
28;Variable;tokenid;20
29;Variable;tokenEmbedding;20
30;Variable;opcode_embed;20
31;Variable;operand_embed;20
32;Variable;embedding_size;20
33;Variable;block_embed;20
34;Variable;block_embeddingsnull;20
35;Function;feature_vec_file_gen;0
38;Variable;value;35
39;Function;copyEverythingOver;0
42;Variable;ground_truth;39
43;Variable;node_features;39
44;Variable;cfg_edgelist;39
45;Variable;nodeInfo;39
46;Function;main;0
47;Variable;parser;46
48;Variable;args;46
49;Variable;filepath1;46
50;Variable;filepath2;46
51;Variable;old_dir;46
52;Variable;new_dir;46
53;Variable;outputDir;46
54;Variable;EDGELIST_FILE;46
55;Variable;blockIdxToTokens;46
56;Variable;_;46
57;Variable;bin1_name;46
58;Variable;bin2_name;46
59;Variable;toBeMergedBlocks;46
60;Variable;dictionary;46
61;Variable;reversed_dictionary;46
62;Variable;walks;46
63;Variable;article;46
64;Variable;blockBoundaryIndex;46
65;Variable;insnStartingIndices;46
66;Variable;indexToCurrentInsnsStart;46
67;Variable;tokenEmbeddings;46
68;Variable;block_embeddings;46
69;Function;__main__;0
